Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
7,"M1,M2",CY141058,Yes,1002,H3N8,12/13/2009,IRD:American Green-Winged Teal/Avian,USA,Texas,09-10,A/American green-winged teal/Texas/AI09-6046/2009
2,"PB1,PB1-F2,PB1-N40",CY141063,Yes,2316,H3N8,12/13/2009,IRD:American Green-Winged Teal/Avian,USA,Texas,09-10,A/American green-winged teal/Texas/AI09-6046/2009
6,NA,CY141059,Yes,1421,H3N8,12/13/2009,IRD:American Green-Winged Teal/Avian,USA,Texas,09-10,A/American green-winged teal/Texas/AI09-6046/2009
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY141062,Yes,2208,H3N8,12/13/2009,IRD:American Green-Winged Teal/Avian,USA,Texas,09-10,A/American green-winged teal/Texas/AI09-6046/2009
4,HA,CY141057,Yes,1734,H3N8,12/13/2009,IRD:American Green-Winged Teal/Avian,USA,Texas,09-10,A/American green-winged teal/Texas/AI09-6046/2009
8,"NS1,NS2",CY141061,Yes,865,H3N8,12/13/2009,IRD:American Green-Winged Teal/Avian,USA,Texas,09-10,A/American green-winged teal/Texas/AI09-6046/2009
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY079425,Yes,2208,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
4,HA,CY079420,Yes,1732,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
5,NP,CY079423,Yes,1530,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
1,PB2,CY079427,Yes,2307,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
2,"PB1,PB1-F2,PB1-N40",CY079426,Yes,2316,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
7,"M1,M2",CY079421,Yes,1002,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
8,"NS1,NS2",CY079424,Yes,865,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
6,NA,CY079422,Yes,1421,H3N8,10/19/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2270/2008(H3N8)
2,"PB1,PB1-F2,PB1-N40",CY079434,Yes,2300,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
5,NP,CY079431,Yes,1530,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
4,HA,CY079428,Yes,1732,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
1,PB2,CY079435,Yes,2307,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY079433,Yes,2208,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
6,NA,CY079430,Yes,1426,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
7,"M1,M2",CY079429,Yes,1002,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
8,"NS1,NS2",CY079432,Yes,865,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)
2,"PB1,PB1-F2,PB1-N40",CY079346,Yes,2298,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
1,NL,CY079347*,Yes,2313,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
6,NA,CY079342,Yes,1439,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY079345,Yes,2210,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
4,HA,CY079340,Yes,1740,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
8,"NS1,NS2",CY079344,Yes,865,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
7,"M1,M2",CY079341,Yes,1002,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
5,NP,CY079343,Yes,1529,H3N2,10/20/2008,IRD:Green-Winged Teal/Avian,USA,Wisconsin,08-09,A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)
4,HA,CY132941,Yes,1719,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
1,PB2,CY132948,Yes,2316,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
5,NP,CY132944,Yes,1540,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
2,"PB1,PB1-F2,PB1-N40",CY132947,Yes,2316,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY132946,Yes,2208,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
7,"M1,M2",CY132942,Yes,1002,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
6,NA,CY132943,Yes,1428,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
8,"NS1,NS2",CY132945,Yes,846,H6N8,09/26/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/10OS2767/2010
5,NP,CY133088,Yes,1540,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
2,"PB1,PB1-F2,PB1-N40",CY133091,Yes,2316,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
6,NA,CY133087,Yes,1433,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
4,HA,CY133085,Yes,1746,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
7,"M1,M2",CY133086,Yes,1002,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
1,PB2,CY133092,Yes,2308,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY133090,Yes,2208,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
8,"NS1,NS2",CY133089,Yes,865,H1N1,10/02/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2847/2010
8,"NS1,NS2",CY133238,Yes,865,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
2,"PB1,PB1-F2,PB1-N40",CY133240,Yes,2316,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
4,HA,CY133234,Yes,1743,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
6,NA,CY133236,Yes,1439,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
7,"M1,M2",CY133235,Yes,1002,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
5,NP,CY133237,Yes,1536,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
1,PB2,CY133241,Yes,2316,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY133239,Yes,2201,H5N2,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS2955/2010
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY132728,Yes,2196,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
8,"NS1,NS2",CY132726,Yes,865,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
6,NA,CY132723,Yes,1440,(N6),10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
1,PB2,CY132731,Yes,2316,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
7,"M1,M2",CY132722,Yes,1002,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
1,PB2,CY132730,Yes,2316,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
6,NA,CY132724,Yes,1222,(N7),10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
2,"PB1,PB1-F2,PB1-N40",CY132729,Yes,2316,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
4,HA,CY132721,Yes,1732,(H3),10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY132727,Yes,2208,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
5,NP,CY132725,Yes,1540,mixed,10/03/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3093/2010
4,HA,CY133153,Yes,1742,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY133158,Yes,2208,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
8,"NS1,NS2",CY133157,Yes,865,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
2,"PB1,PB1-F2,PB1-N40",CY133159,Yes,2304,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
7,"M1,M2",CY133154,Yes,1002,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
5,NP,CY133156,Yes,1540,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
6,NA,CY133155,Yes,1439,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
1,PB2,CY133160,Yes,2316,H5N2,10/20/2010,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,10-11,A/American green-winged teal/Wisconsin/10OS3127/2010
1,PB2,CY166329,Yes,2301,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
7,"M1,M2",CY166323,Yes,1002,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
2,"PB1,PB1-F2,PB1-N40",CY166328,Yes,2304,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
8,"NS1,NS2",CY166326,Yes,865,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
5,NP,CY166325,Yes,1540,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
6,NA,CY166324,Yes,1433,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166327,Yes,2208,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
4,HA,CY166322,Yes,1719,H6N1,09/24/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/11OS3053/2011
2,"PB1,PB1-F2,PB1-N40",CY166539,Yes,2314,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166538,Yes,2208,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
7,"M1,M2",CY166534,Yes,1002,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
8,"NS1,NS2",CY166537,Yes,865,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
6,NA,CY166535,Yes,1410,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
4,HA,CY166533,Yes,1749,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
5,NP,CY166536,Yes,1536,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
1,PB2,CY166540,Yes,2307,H1N1,10/15/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3376/2011
6,NA,CY166631,Yes,1444,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
5,NP,CY166632,Yes,1536,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
7,"M1,M2",CY166630,Yes,1002,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
4,HA,CY166629,Yes,1712,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
2,"PB1,PB1-F2,PB1-N40",CY166635,Yes,2304,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
1,PB2,CY166636,Yes,2316,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
8,"NS1,NS2",CY166633,Yes,865,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166634,Yes,2208,H12N5,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3425/2011
8,"NS1,NS2",CY166641,Yes,865,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166642,Yes,2208,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011
4,HA,CY166637,Yes,1743,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011
5,NP,CY166640,Yes,1540,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011
6,NA,CY166639,Yes,1442,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011
2,"PB1,PB1-F2,PB1-N40",CY166643,Yes,2304,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011
1,PB2,CY166644,Yes,2307,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011
7,"M1,M2",CY166638,Yes,1002,H5N2,10/16/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3431/2011(H5N2)
5,NP,CY166648,Yes,1537,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011
8,"NS1,NS2",CY166649,Yes,865,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011
6,NA,CY166647,Yes,1442,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011
7,"M1,M2",CY166646,Yes,1002,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011
4,HA,CY166645,Yes,1743,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011
2,"PB1,PB1-F2,PB1-N40",CY166651,Yes,2316,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011
1,PB2,CY166652,Yes,2316,H5N2,10/16/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166650,Yes,2208,H5N2,10/16/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3432/2011(H5N2)
7,"M1,M2",CY166187,Yes,1002,H10N7,10/29/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
2,"PB1,PB1-F2,PB1-N40",CY166192,Yes,2316,H10N7,10/29/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
5,NP,CY166189,Yes,1540,H10N7,10/29/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
1,PB2,CY166193,Yes,2307,H10N7,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
4,HA,CY166186,Yes,1703,H10N7,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
8,"NS1,NS2",CY166190,Yes,865,H10N7,10/29/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166191,Yes,2208,H10N7,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
6,NA,CY166188,Yes,1433,H10N7,10/29/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3499/2011
8,"NS1,NS2",CY166198,Yes,865,H6N2,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
1,PB2,CY166201,Yes,2307,H6N2,10/29/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
5,NP,CY166197,Yes,1540,H6N2,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
4,HA,CY166194,Yes,1719,H6N2,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
6,NA,CY166196,Yes,1439,H6N2,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166199,Yes,2208,H6N2,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
2,"PB1,PB1-F2,PB1-N40",CY166200,Yes,2316,H6N2,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
7,"M1,M2",CY166195,Yes,1002,H6N2,10/29/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/american green-winged teal/Wisconsin/11OS3551/2011
2,"PB1,PB1-F2,PB1-N40",CY166232,Yes,2316,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166231,Yes,2208,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
5,NP,CY166229,Yes,1540,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
1,PB2,CY166233,Yes,2316,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
4,HA,CY166226,Yes,1712,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
6,NA,CY166228,Yes,1439,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
8,"NS1,NS2",CY166230,Yes,865,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
7,"M1,M2",CY166227,Yes,1002,H12N2,10/30/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3580/2011
7,"M1,M2",CY166681,Yes,1002,H4N6,11/04/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
4,HA,CY166680,Yes,1713,H4N6,11/04/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
2,"PB1,PB1-F2,PB1-N40",CY166686,Yes,2316,H4N6,11/04/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
5,NP,CY166683,Yes,1540,H4N6,11/04/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
1,PB2,CY166687,Yes,2316,H4N6,11/04/2011,IRD:Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
6,NA,CY166682,Yes,1439,H4N6,11/04/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",CY166685,Yes,2208,H4N6,11/04/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
8,"NS1,NS2",CY166684,Yes,865,H4N6,11/04/2011,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,11-12,A/American green-winged teal/Wisconsin/11OS3592/2011
4,HA,CY097454,Yes,1719,H6N2,10/17/2009,IRD:American Green-Winged Teal/Avian,USA,Wisconsin,-N/A-,A/American green-winged teal/Wisconsin/2530/2009
